"town","year","call_reason","self","disp","avg_hours_per_call","totalCalls","totalHours"
"Leverett",2019-01-01,"911 CALL",0,24,0.289333333333333,24,6.944
"Leverett",2019-01-01,"911 HANG UP",0,6,0.424333333333333,6,2.546
"Leverett",2019-01-01,"911 MIS DIAL",0,3,0.195166666666667,3,0.5855
"Leverett",2019-01-01,"911 Text to 911",0,1,0,1,0
"Leverett",2019-01-01,"ADMINISTRATIVE",296,0,0.9785,296,289.636
"Leverett",2019-01-01,"ALARM BURGLAR OR HOLDUP",0,63,0.269833333333333,63,16.9995
"Leverett",2019-01-01,"EMS ALARM - LIFELINE ACTIVATED",0,4,0.308666666666667,4,1.23466666666667
"Leverett",2019-01-01,"FIRE ALARM",0,13,0.325333333333333,13,4.22933333333333
"Leverett",2019-01-01,"ANIMAL COMPLAINT",10,21,0.3975,31,12.3225
"Leverett",2019-01-01,"ASSIST CITIZEN",18,4,0.223333333333333,22,4.91333333333333
"Leverett",2019-01-01,"ASSIST OTHER AGENCY",5,5,0.499833333333333,10,4.99833333333333
"Leverett",2019-01-01,"ARTICLES LOST",1,3,0.0563333333333333,4,0.225333333333333
"Leverett",2019-01-01,"ARTICLES RECOVERED",10,1,0.3475,11,3.8225
"Leverett",2019-01-01,"BREAKING & ENTERING PAST",1,1,0.5705,2,1.141
"Leverett",2019-01-01,"BE ON THE LOOK OUT",1,0,0.0595,1,0.0595
"Leverett",2019-01-01,"BUILDING/LOCATION CHECK",595,7,0.194,602,116.788
"Leverett",2019-01-01,"CHIMNEY FIRE",0,2,0.4125,2,0.825
"Leverett",2019-01-01,"CHECK WELFARE",3,21,0.423333333333333,24,10.16
"Leverett",2019-01-01,"CRUISER MAINTENANCE",74,2,0.491833333333333,76,37.3793333333333
"Leverett",2019-01-01,"CARBON MONOXIDE HAZARD",0,7,0.308,7,2.156
"Leverett",2019-01-01,"COMMUNITY POLICING",39,0,0.4795,39,18.7005
"Leverett",2019-01-01,"COMPLAINT",1,5,0.239666666666667,6,1.438
"Leverett",2019-01-01,"COURT",4,0,1.14833333333333,4,4.59333333333333
"Leverett",2019-01-01,"Car vs. Deer",2,9,0.352,11,3.872
"Leverett",2019-01-01,"DEATH",1,0,0.0995,1,0.0995
"Leverett",2019-01-01,"DISTURBANCE",0,6,0.555333333333333,6,3.332
"Leverett",2019-01-01,"DISABLED MV",14,9,0.5345,23,12.2935
"Leverett",2019-01-01,"DOMESTIC",0,1,4.141,1,4.141
"Leverett",2019-01-01,"Drill/Testing",5,1,1.135,6,6.81
"Leverett",2019-01-01,"DETAIL REQUEST",0,2,0,2,0
"Leverett",2019-01-01,"FIREARMS LICENSING",60,0,0.496666666666667,60,29.8
"Leverett",2019-01-01,"BRUSH FIRE",0,2,1.04816666666667,2,2.09633333333333
"Leverett",2019-01-01,"FIRE, OTHER NON-SPECIFIC",0,2,1.65833333333333,2,3.31666666666667
"Leverett",2019-01-01,"FIRE WORKS",0,1,0,1,0
"Leverett",2019-01-01,"FOLLOW UP INVESTIGATION",20,1,0.262666666666667,21,5.516
"Leverett",2019-01-01,"FRAUD/SCAM",1,2,0.3985,3,1.1955
"Leverett",2019-01-01,"GAS LEAK",0,1,0,1,0
"Leverett",2019-01-01,"GENERAL INFO",0,10,0,10,0
"Leverett",2019-01-01,"ILLEGAL BURN",0,1,0.47,1,0.47
"Leverett",2019-01-01,"ILLEGAL DUMPING",2,0,0.0746666666666667,2,0.149333333333333
"Leverett",2019-01-01,"INVESTIGATION",1,2,1.35366666666667,3,4.061
"Leverett",2019-01-01,"LARCENY",2,4,0.8025,6,4.815
"Leverett",2019-01-01,"LINE DOWN, POWER,PHONE OR CABL",1,19,1.21266666666667,20,24.2533333333333
"Leverett",2019-01-01,"LOCKOUT",2,1,0.2635,3,0.7905
"Leverett",2019-01-01,"MEDICAL EMERGENCY",0,66,0.627333333333333,66,41.404
"Leverett",2019-01-01,"MISSING PERSON",0,1,0.399,1,0.399
"Leverett",2019-01-01,"MISCELLANEOUS",24,4,0.130833333333333,28,3.66333333333333
"Leverett",2019-01-01,"MOTOR VEHICLE ACCIDENT NO INJU",5,21,0.822666666666667,26,21.3893333333333
"Leverett",2019-01-01,"MOTOR VEHICLE COMPLAINT",4,9,0.131166666666667,13,1.70516666666667
"Leverett",2019-01-01,"MOTOR VEHICLE ACCIDE W/INJURY",0,2,1.15666666666667,2,2.31333333333333
"Leverett",2019-01-01,"MOTOR VEHICLE - STOLEN",0,1,0,1,0
"Leverett",2019-01-01,"MOTOR VEHICLE VIOLATION",919,2,0.215166666666667,921,198.1685
"Leverett",2019-01-01,"NOISE COMPLAINT",0,1,0,1,0
"Leverett",2019-01-01,"NOTIFICATION",2,8,0.218666666666667,10,2.18666666666667
"Leverett",2019-01-01,"ODOR INVESTIGATION",0,1,0,1,0
"Leverett",2019-01-01,"OFFICER WANTED",2,17,0.506833333333333,19,9.62983333333333
"Leverett",2019-01-01,"PAPERWORK SERVICE",71,0,0.08,71,5.68
"Leverett",2019-01-01,"PATROL AREA",267,0,0.0843333333333333,267,22.517
"Leverett",2019-01-01,"POWER OUTAGE/FAILURE",0,1,0,1,0
"Leverett",2019-01-01,"RADAR/TRAFFIC ENFORCEMENT",920,0,0.508,920,467.36
"Leverett",2019-01-01,"ROLLING 9",4,1,0.0516666666666667,5,0.258333333333333
"Leverett",2019-01-01,"SAFETY HAZARD",4,17,0.4745,21,9.9645
"Leverett",2019-01-01,"SERVICE CALL",2,6,0.337166666666667,8,2.69733333333333
"Leverett",2019-01-01,"SHOTS FIRED",0,1,0.144833333333333,1,0.144833333333333
"Leverett",2019-01-01,"SUMMONS SERVICE",1,0,0.1125,1,0.1125
"Leverett",2019-01-01,"SUSPICIOUS PERSON",1,2,0.39,3,1.17
"Leverett",2019-01-01,"SUSPICIOUS ACTIVITY",2,1,0.158833333333333,3,0.4765
"Leverett",2019-01-01,"SUSPICIOUS VEHICLE",2,6,0.696666666666667,8,5.57333333333333
"Leverett",2019-01-01,"THREAT",0,1,0.548166666666667,1,0.548166666666667
"Leverett",2019-01-01,"TRAFFIC HAZARD",5,24,0.439,29,12.731
"Leverett",2019-01-01,"TRAFFIC CONTROL",69,0,0.444,69,30.636
"Leverett",2019-01-01,"TRESPASS",0,3,0.278833333333333,3,0.8365
"Leverett",2019-01-01,"UNWANTED PERSON",1,4,0.9375,5,4.6875
"Leverett",2019-01-01,"SERVE WARRANT",3,0,0.347666666666667,3,1.043
"Leverett",2020-01-01,"209A SERVICE",1,1,0.435,2,0.87
"Leverett",2020-01-01,"ABANDONED 911 CALL",0,7,0.445833333333333,7,3.12083333333333
"Leverett",2020-01-01,"911 CALL",0,18,0.3135,18,5.643
"Leverett",2020-01-01,"911 HANG UP",0,4,0.323666666666667,4,1.29466666666667
"Leverett",2020-01-01,"911 MIS DIAL",0,12,0.159,12,1.908
"Leverett",2020-01-01,"ABANDONED MV",1,2,0.610166666666667,3,1.8305
"Leverett",2020-01-01,"ADMINISTRATIVE",89,1,1.23916666666667,90,111.525
"Leverett",2020-01-01,"ALARM BURGLAR OR HOLDUP",0,25,0.2305,25,5.7625
