"","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths"
"Guinea","10 215 [ 7 760- 12 700]","8 586 [ 7 570- 9 850]","8 470 [ 7 560- 9 600]","9 242 [ 8 290- 10 400]","9 704 [ 8 770- 10 800]","10 492 [ 9 540- 11 600]","11 566 [ 10 600- 12 700]","12 504 [ 11 500- 13 700]","13 703 [ 12 700- 14 900]","13 841 [ 12 800- 15 000]","13 286 [ 12 400- 14 300]","12 350 [ 11 500- 13 300]","10 761 [ 10 100- 11 500]","9 931 [ 9 290- 10 600]","9 672 [ 9 060- 10 300]","9 895 [ 9 280- 10 500]","10 985 [ 10 300- 11 700]","12 844 [ 12 100- 13 700]","14 460 [ 13 600- 15 400]","15 919 [ 15 000- 16 900]","16 396 [ 15 400- 17 400]"
"Guinea-Bissau","No malaria","874 [ 740- 1 060]","873 [ 740- 1 050]","814 [ 710- 960]","795 [ 700- 920]","768 [ 680- 880]","772 [ 690- 880]","783 [ 700- 880]","797 [ 720- 890]","812 [ 740- 900]","806 [ 740- 890]","774 [ 720- 840]","735 [ 690- 790]","712 [ 670- 760]","716 [ 680- 760]","742 [ 700- 790]","816 [ 770- 880]","1 003 [ 940- 1 080]","1 297 [ 1 200- 1 410]","1 717 [ 1 590- 1 870]","2 273 [ 2 090- 2 480]"
"Guyana","28 [ 2- 47]","30 [ 3- 50]","38 [ 4- 74]","33 [ 3- 63]","24 [ 1- 46]","22 [ 2- 41]","27 [ 2- 53]","90 [ 7- 170]","76 [ 5- 130]","72 [ 4- 130]","51 [ 3- 90]","28 [ 1- 48]","23 [ 1- 39]","19 [ 1- 32]","37 [ 3- 63]","69 [ 7- 120]","51 [ 5- 89]","53 [ 4- 92]","42 [ 3- 74]","52 [ 4- 91]","50 [ 3- 86]"
"Haiti","97 [ 2- 200]","45 [ 1- 91]","40 [ 1- 81]","84 [ 2- 170]","92 [ 2- 190]","82 [ 2- 160]","84 [ 2- 170]","160 [ 4- 350]","167 [ 4- 370]","208 [ 6- 460]","218 [ 6- 490]","214 [ 5- 480]","229 [ 6- 510]","187 [ 5- 420]","207 [ 5- 470]","201 [ 5- 460]","198 [ 5- 450]","195 [ 5- 440]","191 [ 5- 430]","188 [ 5- 430]","185 [ 5- 420]"
"Honduras","0 [ 0 - 1 ]","0","0","0 [ 0 - 1 ]","5 [ 0 - 9 ]","4 [ 0 - 7 ]","3 [ 0 - 5 ]","5 [ 1- 9]","4 [ 1- 7]","5 [ 1- 9]","7 [ 2- 13]","8 [ 1- 15]","6 [ 1- 10]","7 [ 2- 13]","8 [ 2- 15]","11 [ 3- 20]","12 [ 3- 21]","9 [ 3- 16]","11 [ 3- 20]","15 [ 5- 28]","23 [ 8- 42]"
"Hungary","No malaria","","","","","","","","","","","","","","","","","","","",""
"Iceland","No malaria","","","","","","","","","","","","","","","","","","","",""
"India","7 341 [ 510- 14 500]","7 701 [ 770- 14 700]","9 664 [ 940- 18 400]","16 296 [ 1 190- 31 500]","22 437 [ 1 500- 44 300]","21 694 [ 1 470- 40 900]","20 103 [ 1 380- 38 200]","16 741 [ 1 480- 31 600]","20 372 [ 1 990- 38 700]","25 646 [ 2 370- 47 800]","30 522 [ 2 730- 57 700]","32 006 [ 2 720- 62 600]","29 894 [ 2 780- 57 100]","27 747 [ 2 700- 52 400]","27 859 [ 2 790- 51 900]","32 599 [ 3 450- 60 100]","31 217 [ 3 250- 56 200]","27 862 [ 2 870- 49 100]","27 270 [ 2 680- 48 700]","28 679 [ 2 850- 51 100]","29 512 [ 2 740- 52 900]"
"Indonesia","1 443 [ 98- 2 350]","1 188 [ 84- 1 930]","1 043 [ 79- 1 700]","1 419 [ 110- 2 300]","2 056 [ 150- 3 370]","1 793 [ 150- 2 910]","2 058 [ 170- 3 360]","2 656 [ 230- 4 330]","3 081 [ 270- 5 020]","3 123 [ 260- 5 090]","3 485 [ 290- 5 700]","1 898 [ 200- 3 460]","1 873 [ 200- 3 420]","1 848 [ 190- 3 380]","2 126 [ 220- 3 450]","1 789 [ 190- 2 890]","1 484 [ 180- 2 390]","1 752 [ 190- 3 210]","1 729 [ 180- 3 170]","1 705 [ 180- 3 120]","1 682 [ 180- 3 070]"
"Iran (Islamic Republic of)","No malaria","0","0","1","0","1","0","0","0","0","0","0","3","3","1","1","1","5","2","2","4"
"Iraq","No malaria No malaria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ireland","No malaria","","","","","","","","","","","","","","","","","","","",""
"Israel","No malaria","","","","","","","","","","","","","","","","","","","",""
"Italy","No malaria","","","","","","","","","","","","","","","","","","","",""
"Jamaica","No malaria","","","","","","","","","","","","","","","","","","","",""
"Japan","No malaria","","","","","","","","","","","","","","","","","","","",""
"Jordan","No malaria","","","","","","","","","","","","","","","","","","","",""
"Kazakhstan","No malaria No malaria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kenya","12 646 [ 11 400- 14 800]","11 979 [ 11 200- 13 200]","11 850 [ 11 100- 12 900]","11 845 [ 11 100- 12 800]","11 298 [ 10 700- 12 100]","10 862 [ 10 400- 11 500]","10 634 [ 10 200- 11 100]","10 439 [ 10 100- 10 900]","10 372 [ 10 000- 10 800]","10 371 [ 10 000- 10 700]","10 033 [ 9 740- 10 400]","9 855 [ 9 570- 10 200]","9 714 [ 9 430- 10 000]","9 792 [ 9 490- 10 100]","9 848 [ 9 540- 10 200]","10 427 [ 10 100- 10 800]","11 667 [ 11 200- 12 100]","13 021 [ 12 500- 13 600]","13 472 [ 12 900- 14 100]","13 668 [ 13 100- 14 300]","11 901 [ 11 500- 12 400]"
"Kiribati","No malaria","","","","","","","","","","","","","","","","","","","",""
"Kuwait","No malaria","","","","","","","","","","","","","","","","","","","",""
"Kyrgyzstan","No malaria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
